description,category
Starbucks coffee #5340,Food
Momos stall,Food
Skin specialist visit,Health
Food court mall #5082,Food
milk and eggs,Food
Food court mall,Food
toll payment,Transport
hotstar subscription,Entertainment
Charity contribution #9753,Other
spa treatment,Other
paratha breakfast,Food
Bowling alley #9634,Entertainment
zara shirt,Shopping
Cafe breakfast #8937,Food
Laptop accessories,Shopping
Mobile recharge Jio #6035,Bills
Health insurance premium #2511,Health
Zomato food delivery #6408,Food
Auto rickshaw fare #7715,Transport
Bakery items,Food
starbucks coffee,Food
charity contribution,Other
Dental checkup #7253,Health
Zomato food delivery,Food
Laundry service #2419,Other
South indian tiffin,Food
Bus ticket #2322,Transport
movie tickets pvr,Entertainment
wifi bill airtel,Bills
Vegetable market #2335,Food
Gaming purchase Steam,Entertainment
Zara shirt #9931,Shopping
Grocery shopping BigBasket #5791,Food
mcdonald's meal,Food
laundry service,Other
Bus ticket,Transport
street food chaat,Food
ride share pool,Transport
Bank transfer fee,Other
parking fee,Transport
Auto rickshaw fare,Transport
credit card bill,Bills
Gift for friend,Other
Car wash,Transport
Zoo entry ticket #3065,Entertainment
eye checkup,Health
Electricity meter recharge #2344,Bills
DTH recharge,Bills
books order,Shopping
Gift for friend #3328,Other
Bike fuel,Transport
mobile game purchase,Entertainment
momos stall,Food
home decor items,Shopping
Amazon order,Shopping
Doctor consultation #2450,Health
Furniture purchase,Shopping
Shoes online order #7646,Shopping
bus ticket,Transport
home appliance purchase,Shopping
car wash,Transport
water bill,Bills
Taxi fare #8322,Transport
Vaccination #2867,Health
Physiotherapy session #4581,Health
Cake order birthday #9733,Food
Hospital bill #8777,Health
Traffic challan payment,Transport
Amazon Prime subscription #5388,Entertainment
Watch online order,Shopping
Sweet shop mithai #5092,Food
Gas pipeline bill,Bills
X-ray scan #8425,Health
Kitchen items,Shopping
Parking fee #3528,Transport
broadband bill,Bills
doctor consultation,Health
cash withdrawal,Other
Music concert #8258,Entertainment
Water bill #4667,Bills
YouTube premium,Entertainment
dental checkup,Health
Dental checkup,Health
ambulance charges,Health
Street food chaat,Food
furniture purchase,Shopping
cab to airport,Transport
Mobile game purchase,Entertainment
Shoes online order,Shopping
landline bill,Bills
Landline bill #8273,Bills
Chinese food takeout #7562,Food
Train ticket IRCTC,Transport
toy store purchase,Shopping
Health supplements,Health
McDonald's meal,Food
Theatre play tickets #8949,Entertainment
Bowling alley,Entertainment
Ride share pool #3806,Transport
Taxi fare,Transport
Nike shoes,Shopping
health supplements,Health
h&m shopping,Shopping
Broadband bill #4248,Bills
domino's pizza order,Food
hospital bill,Health
petrol pump fuel,Transport
Cake order birthday,Food
Street food chaat #2262,Food
Blood test #5753,Health
Traffic challan payment #3867,Transport
Bank transfer fee #6150,Other
Gas pipeline bill #4888,Bills
Books order,Shopping
postpaid bill payment,Bills
playstation game,Entertainment
Cash withdrawal #7647,Other
Home decor items #3874,Shopping
Canteen lunch #7017,Food
Car wash #3470,Transport
car rental,Transport
mobile recharge jio,Bills
Vehicle insurance renewal,Transport
Swiggy order #2805,Food
Tea stall #8046,Food
Health checkup package #6473,Health
Juice shop,Food
Charity contribution,Other
Toll payment,Transport
zoo entry ticket,Entertainment
Uber ride to college,Transport
Bike fuel #3043,Transport
Toy store purchase #9370,Shopping
pharmacy medicine,Health
optician glasses,Health
rent payment,Bills
uber ride to college,Transport
Eye checkup #7237,Health
Rapido bike ride #3968,Transport
H&M shopping,Shopping
stationery shopping,Shopping
Mobile recharge Jio,Bills
Cable TV bill,Bills
Postpaid bill payment #5033,Bills
Arcade games #4064,Entertainment
loan emi payment,Bills
Eye checkup,Health
Bank charges #6463,Other
Toll payment #2589,Transport
Water tanker payment,Bills
bag purchase,Shopping
protein powder purchase,Health
Jewellery store,Shopping
Bike repair,Transport
Medical store,Health
House tax payment #5091,Bills
PlayStation game #8151,Entertainment
late fee payment,Other
society maintenance,Bills
Standup comedy show,Entertainment
plumber service,Other
Mobile game purchase #2038,Entertainment
gift for friend,Other
train ticket irctc,Transport
Nike shoes #8002,Shopping
Cable TV bill #7974,Bills
Zoo entry ticket,Entertainment
Concert tickets,Entertainment
Courier charges #8332,Other
theatre play tickets,Entertainment
Kitchen items #2875,Shopping
gym membership,Health
Car rental #8228,Transport
flight ticket booking,Transport
Furniture purchase #9667,Shopping
Maintenance charges,Bills
kitchen items,Shopping
auto rickshaw fare,Transport
Rapido bike ride,Transport
Arcade games,Entertainment
Bag purchase #1349,Shopping
lab test,Health
youtube premium,Entertainment
car service,Transport
Postpaid bill payment,Bills
skin specialist visit,Health
Metro card recharge #5204,Transport
Water park entry,Entertainment
Gaming purchase Steam #6946,Entertainment
diesel refill,Transport
Vaccination,Health
Ice cream parlour #7652,Food
Repair service,Other
Dhaba food #5372,Food
electricity meter recharge,Bills
food court mall,Food
Electricity bill payment #5540,Bills
Electronics store,Shopping
Bike rental,Transport
KFC lunch,Food
Dmart groceries #6773,Food
vegetable market,Food
Amazon order #8898,Shopping
bike fuel,Transport
Physiotherapy session,Health
Pet supplies #3279,Other
Jewellery store #7170,Shopping
Paratha breakfast #5739,Food
Burger king meal,Food
Electricity bill payment,Bills
Medical store #5135,Health
Pharmacy medicine #2062,Health
nike shoes,Shopping
Biryani order #7651,Food
Gym membership #2161,Health
Laptop accessories #3329,Shopping
Electricity meter recharge,Bills
Gas cylinder booking #7510,Bills
Skin specialist visit #1866,Health
zomato food delivery,Food
dth recharge,Bills
Donation #4987,Other
ola cab booking,Transport
shoes online order,Shopping
Ambulance charges,Health
Sunglasses shopping,Shopping
Flipkart purchase,Shopping
Uber ride to college #5311,Transport
water tanker payment,Bills
Sunglasses shopping #3469,Shopping
south indian tiffin,Food
Bakery items #1234,Food
Milk and eggs #2552,Food
Insurance premium,Bills
Amazon Prime subscription,Entertainment
Books order #9170,Shopping
Donation,Other
Vegetable market,Food
yoga class,Health
Home appliance purchase #8132,Shopping
Maintenance charges #3907,Bills
Loan EMI payment,Bills
Car rental,Transport
x-ray scan,Health
Cab to airport,Transport
South indian tiffin #2250,Food
Flight ticket booking,Transport
Car service #9752,Transport
Tailoring service,Other
McDonald's meal #7938,Food
YouTube premium #6277,Entertainment
Cash withdrawal,Other
dhaba food,Food
Netflix subscription,Entertainment
KFC lunch #4826,Food
Ride share pool,Transport
biryani order,Food
Miscellaneous expense #6965,Other
Protein powder purchase #9685,Health
Perfume purchase,Shopping
Society maintenance,Bills
Optician glasses,Health
Spa treatment #5773,Other
arcade games,Entertainment
Gift shopping #6766,Shopping
Headphones purchase,Shopping
Watch online order #9880,Shopping
cable tv bill,Bills
Miscellaneous expense,Other
WiFi bill Airtel #5340,Bills
Plumber service,Other
miscellaneous expense,Other
Spotify premium,Entertainment
Video game console #5526,Entertainment
Insurance premium #9029,Bills
Stationery shopping,Shopping
Bike rental #6555,Transport
ice cream parlour,Food
perfume purchase,Shopping
mobile phone case,Shopping
BookMyShow booking,Entertainment
maintenance charges,Bills
Metro card recharge,Transport
Burger king meal #2624,Food
Lab test #8079,Health
swiggy order,Food
bank charges,Other
Photocopy printout,Other
pizza hut order,Food
Fruits vendor #1724,Food
laptop accessories,Shopping
dmart groceries,Food
Rent payment #1515,Bills
Hospital bill,Health
tea stall,Food
Music concert,Entertainment
Spa treatment,Other
burger king meal,Food
Theatre play tickets,Entertainment
Credit card bill,Bills
electricity bill payment,Bills
kfc lunch,Food
PlayStation game,Entertainment
canteen lunch,Food
Lab test,Health
Landline bill,Bills
traffic challan payment,Transport
amazon prime subscription,Entertainment
electrician charges,Other
Diesel refill #6793,Transport
Movie tickets PVR,Entertainment
courier charges,Other
concert tickets,Entertainment
Water bill,Bills
Subway sandwich,Food
Pharmacy medicine,Health
Pizza hut order #7988,Food
Myntra clothes,Shopping
Mobile phone case,Shopping
Cleaning service #2142,Other
electronics store,Shopping
amazon order,Shopping
chinese food takeout,Food
Pizza hut order,Food
Standup comedy show #6313,Entertainment
gift shopping,Shopping
Gas cylinder booking,Bills
Cafe breakfast,Food
gaming purchase steam,Entertainment
bike rental,Transport
House tax payment,Bills
Repair service #6668,Other
Mobile phone case #5951,Shopping
physiotherapy session,Health
Water tanker payment #4136,Bills
Ambulance charges #2428,Health
standup comedy show,Entertainment
DTH recharge #2669,Bills
Movie tickets PVR #9841,Entertainment
Vehicle insurance renewal #7953,Transport
bike repair,Transport
taxi fare,Transport
Water park entry #2325,Entertainment
Ola cab booking,Transport
Gym membership,Health
Canteen lunch,Food
Tailoring service #4162,Other
Hotstar subscription,Entertainment
sunglasses shopping,Shopping
pet supplies,Other
rapido bike ride,Transport
Late fee payment #9501,Other
Local restaurant dinner #8575,Food
Electronics store #9084,Shopping
Juice shop #9368,Food
metro card recharge,Transport
Broadband bill,Bills
Video game console,Entertainment
Laundry service,Other
Petrol pump fuel,Transport
